"DATA_YEAR","NIBRS_MONTH_ID","AGENCY_ID","MONTH_NUM","DATA_YEAR","REPORTED_STATUS","REPORT_DATE","UPDATE_FLAG","ORIG_FORMAT","DATA_HOME","DDOCNAME","DID","MONTH_PUB_STATUS"
2019,11781466,9113,1,2019,"U",16-MAR-20,"Y","X","C","2019_01_MN0020700_NIBRS",69159315,0
2019,11785829,9210,1,2019,"U",16-MAR-20,"Y","X","C","2019_01_MN0270300_NIBRS",71272017,0
2019,13687161,9210,2,2019,"I",23-APR-20,"Y","X","C","2019_02_MN0270300_NIBRS",71806208,0
2019,11785831,9210,3,2019,"I",,"Y","G","C","2019_03_MN0270300_NIBRS",70998946,0
2019,11785858,9210,4,2019,"U",16-MAR-20,"Y","X","C","2019_04_MN0270300_NIBRS",69562401,0
2019,11785833,9210,5,2019,"I",16-MAR-20,"Y","X","C","2019_05_MN0270300_NIBRS",69563880,0
2019,11787828,9210,6,2019,"I",16-MAR-20,"Y","X","C","2019_06_MN0270300_NIBRS",70997779,0
2019,8144972,9316,1,2019,"I",,"Y","G","C","2019_01_MN0560000_NIBRS",70150658,0
2019,8152634,9316,2,2019,"I",,"Y","G","C","2019_02_MN0560000_NIBRS",64142207,0
2019,8160296,9316,3,2019,"I",,"Y","G","C","2019_03_MN0560000_NIBRS",67766429,0
2019,8167958,9316,4,2019,"I",,"Y","G","C","2019_04_MN0560000_NIBRS",67766390,0
2019,8175620,9316,5,2019,"I",,"Y","G","C","2019_05_MN0560000_NIBRS",70767427,0
2019,8183282,9316,6,2019,"I",,"Y","G","C","2019_06_MN0560000_NIBRS",64098685,0
2019,8190944,9316,7,2019,"I",,"Y","G","C","2019_07_MN0560000_NIBRS",64064864,0
2019,8198606,9316,8,2019,"I",,"Y","G","C","2019_08_MN0560000_NIBRS",71469031,0
2019,8206268,9316,9,2019,"I",,"Y","G","C","2019_09_MN0560000_NIBRS",71463953,0
2019,8213930,9316,10,2019,"I",,"Y","G","C","2019_10_MN0560000_NIBRS",71345423,0
2019,8221592,9316,11,2019,"I",,"Y","G","C","2019_11_MN0560000_NIBRS",65546683,0
2019,8229254,9316,12,2019,"I",,"Y","G","C","2019_12_MN0560000_NIBRS",71852014,0
2019,8325033,9334,1,2019,"I",,"Y","G","C","2019_01_MN0620600_NIBRS",49486454,0
2019,8325122,9334,2,2019,"I",,"Y","G","C","2019_02_MN0620600_NIBRS",49486471,0
2019,8325211,9334,3,2019,"I",,"Y","G","C","2019_03_MN0620600_NIBRS",49490036,0
2019,8325300,9334,4,2019,"I",,"Y","G","C","2019_04_MN0620600_NIBRS",49486479,0
2019,8325389,9334,5,2019,"I",,"Y","G","C","2019_05_MN0620600_NIBRS",57267004,0
2019,8325478,9334,6,2019,"I",,"Y","G","C","2019_06_MN0620600_NIBRS",65153169,0
2019,8325567,9334,7,2019,"I",,"Y","G","C","2019_07_MN0620600_NIBRS",65153160,0
2019,8326656,9334,8,2019,"I",,"Y","G","C","2019_08_MN0620600_NIBRS",65153166,0
2019,13496400,9223,8,2019,"U",07-APR-20,"Y","X","C","2019_08_MN0271700_NIBRS",70989340,0
2019,13539605,9223,11,2019,"U",14-APR-20,"Y","X","C","2019_11_MN0271700_NIBRS",71488587,0
2019,11818064,9313,1,2019,"I",18-MAR-20,"Y","X","C","2019_01_MN0550000_NIBRS",69617608,0
2019,11818085,9313,2,2019,"U",18-MAR-20,"Y","X","C","2019_02_MN0550000_NIBRS",71023494,0
2019,11818069,9313,3,2019,"I",18-MAR-20,"Y","X","C","2019_03_MN0550000_NIBRS",71018060,0
2019,11818075,9313,4,2019,"U",18-MAR-20,"Y","X","C","2019_04_MN0550000_NIBRS",71018054,0
2019,9129680,9313,5,2019,"I",18-JUL-19,"Y","F","C","2019_05_MN0550000_NIBRS",65094288,0
2019,11781469,9119,1,2019,"U",16-MAR-20,"Y","X","C","2019_01_MN0021300_NIBRS",69176185,0
2019,11785743,9119,3,2019,"U",16-MAR-20,"Y","X","C","2019_03_MN0021300_NIBRS",69176179,0
2019,11781429,9111,2,2019,"I",16-MAR-20,"Y","X","C","2019_02_MN0020500_NIBRS",69176116,0
2019,8144947,9145,1,2019,"I",,"Y","G","C","2019_01_MN0100000_NIBRS",70941753,0
2019,8152609,9145,2,2019,"I",,"Y","G","C","2019_02_MN0100000_NIBRS",65398681,0
2019,8160271,9145,3,2019,"I",,"Y","G","C","2019_03_MN0100000_NIBRS",71801212,0
2019,8167933,9145,4,2019,"I",,"Y","G","C","2019_04_MN0100000_NIBRS",71328928,0
