"DATA_YEAR","VICTIM_ID","OFFENSE_ID"
2019,128404013,142272615
2019,128404115,142272714
2019,128404116,142272715
2019,128404124,142272722
2019,128404126,142272724
2019,128404127,142272724
2019,128405095,142273736
2019,128404046,142272652
2019,128404196,142272784
2019,128404140,142272735
2019,128404144,142272740
2019,128404160,142272753
2019,128404161,142272754
2019,128404203,142272791
2019,128404205,142272794
2019,128404205,142272793
2019,128405098,142273739
2019,125590540,139080078
2019,125590504,139080038
2019,125590506,139080040
2019,125590513,139080048
2019,125590517,139080052
2019,125590519,139080054
2019,125590535,139080072
2019,125590535,139080073
2019,125590539,139080077
2019,125590557,139080104
2019,125590557,139080103
2019,125590562,139080113
2019,125590562,139080112
2019,125590565,139080116
2019,125590570,139080123
2019,125590570,139080124
2019,125590629,139080204
2019,125590630,139080205
2019,125591228,139080795
2019,125591241,139080809
2019,125591320,139080882
2019,125591377,139080940
2019,125591380,139080944
2019,125591442,139081010
2019,132752937,146556207
2019,129441385,143330650
2019,129441386,143330652
2019,129441386,143330651
2019,129441387,143330653
2019,129455103,143339287
2019,129455104,143339288
2019,129455104,143339289
2019,129269335,143143098
2019,130065671,143939122
2019,130066508,143939948
2019,130073765,143952223
2019,130073767,143952225
2019,130073884,143952335
2019,130073883,143952335
2019,130235997,144113829
2019,130236002,144113833
2019,130236004,144113836
2019,130236027,144113859
2019,130251144,144129185
2019,130249979,144128048
2019,130236101,144113934
2019,130249802,144127860
2019,130236107,144113940
2019,130236114,144113946
2019,130236114,144113947
2019,130236123,144113958
2019,130236124,144113959
2019,130236134,144113970
2019,130250469,144128529
2019,130236142,144113978
2019,130236778,144114591
2019,130251384,144129422
2019,130236828,144114645
2019,130236296,144114132
2019,130236299,144114136
2019,130236301,144114135
2019,130236300,144114136
2019,130251049,144129095
2019,130251052,144129098
2019,130249832,144127893
2019,130249832,144127892
2019,130251167,144129207
2019,130251096,144129136
2019,130236335,144114170
2019,130236779,144114592
2019,130236702,144114518
2019,130236481,144114310
2019,130236481,144114309
2019,130236568,144114384
2019,130236506,144114323
2019,130236509,144114326
2019,130236567,144114383
2019,130249835,144127897
2019,130236701,144114517
2019,130236708,144114525
2019,130236709,144114526
2019,130236711,144114528
2019,130236724,144114539
2019,130236724,144114540
2019,130236747,144114558
2019,130236747,144114559
2019,130236749,144114561
2019,130236778,144114590
2019,130236845,144114657
2019,130236846,144114658
2019,130251191,144129230
2019,130249766,144127826
2019,130251192,144129231
2019,130250475,144128537
2019,130250523,144128580
2019,130250472,144128533
2019,130250522,144128581
2019,130250528,144128585
2019,130250527,144128586
2019,130250543,144128601
2019,130250550,144128607
2019,130250549,144128607
2019,130250579,144128631
2019,130250703,144128759
2019,130250703,144128758
2019,130250705,144128761
2019,130250718,144128774
2019,130250720,144128776
2019,130250723,144128779
2019,130250729,144128785
2019,130250734,144128790
2019,130250740,144128796
2019,130250750,144128803
2019,130250752,144128805
2019,130250756,144128809
2019,130250759,144128813
2019,130250762,144128816
2019,130250763,144128816
2019,130250766,144128819
2019,130250771,144128824
2019,130250775,144128828
2019,130250803,144128858
2019,130250802,144128857
2019,130250806,144128861
2019,130250810,144128865
2019,130250814,144128869
2019,130250822,144128876
2019,130250823,144128878
2019,130250823,144128877
2019,130250851,144128900
2019,130250851,144128901
2019,130250880,144128931
2019,130250880,144128932
2019,130250879,144128930
2019,130251213,144129250
2019,130251218,144129254
2019,130251219,144129255
2019,130249789,144127846
2019,130249790,144127847
2019,130249792,144127849
2019,130249792,144127850
2019,130249849,144127912
2019,130249852,144127916
2019,130249852,144127915
2019,130249855,144127919
2019,130249859,144127924
2019,130250453,144128504
2019,130250446,144128492
2019,130250446,144128493
2019,130250450,144128499
2019,130250450,144128500
2019,130250453,144128505
2019,130250908,144128962
2019,130250907,144128962
2019,130250906,144128961
2019,130250910,144128964
2019,130250912,144128966
2019,130251380,144129417
2019,130250858,144128907
2019,130250857,144128907
2019,130250859,144128907
2019,130250934,144128987
2019,130250938,144128991
2019,130250941,144128994
2019,130250945,144128997
2019,130276395,144154133
2019,130251131,144129171
2019,130251134,144129174
2019,130251162,144129202
2019,130251312,144129351
2019,130251336,144129372
2019,130251412,144129447
2019,130276099,144153843
2019,130276110,144153854
2019,130276315,144154051
2019,130276330,144154067
2019,130276147,144153887
2019,130276147,144153886
2019,130276359,144154095
2019,130276331,144154067
2019,130276338,144154073
2019,130276412,144154152
2019,130276334,144154070
2019,130276171,144153913
2019,130276335,144154070
2019,130276182,144153923
2019,130276189,144153932
2019,130276190,144153933
2019,130276194,144153937
2019,130276197,144153940
2019,130276199,144153942
2019,130276201,144153944
2019,130276202,144153945
2019,130276203,144153946
2019,130276204,144153947
2019,130276205,144153948
2019,130276208,144153952
2019,130276208,144153951
2019,130276211,144153955
