"DATA_YEAR","ARRESTEE_ID","WEAPON_ID","NIBRS_ARRESTEE_WEAPON_ID"
2019,34216750,1,34192115
2019,34216757,1,34192122
2019,34216759,1,34192124
2019,34216763,1,34192128
2019,34216802,1,34192167
2019,34216803,1,34192168
2019,34216804,1,34192169
2019,34216805,1,34192170
2019,34216822,1,34192187
2019,34216851,1,34192216
2019,34216853,8,34192218
2019,34216875,1,34192240
2019,34216876,1,34192241
2019,34216880,1,34192245
2019,34216883,1,34192248
2019,34216920,1,34192285
2019,34216940,1,34192305
2019,34216942,1,34192307
2019,34217006,1,34192371
2019,34217007,1,34192372
2019,34217027,1,34192392
2019,34217031,1,34192396
2019,34217888,1,34193237
2019,34217120,1,34192485
2019,34217139,1,34192504
2019,34217531,1,34192886
2019,34217539,1,34192894
2019,34217543,1,34192898
2019,34217659,1,34193008
2019,34217660,1,34193009
2019,34217680,1,34193029
2019,34217697,1,34193046
2019,34217699,1,34193048
2019,34217711,1,34193060
2019,34217715,1,34193064
2019,34217717,1,34193066
2019,34217740,1,34193089
2019,34217742,1,34193091
2019,34217810,1,34193159
2019,34217853,1,34193202
2019,34217854,1,34193203
2019,34217855,1,34193204
2019,34217893,1,34193242
2019,34217895,1,34193244
2019,34217896,1,34193245
2019,34217899,1,34193248
2019,34218019,1,34193369
2019,34238614,1,34208973
2019,34167600,1,34143047
2019,34167618,1,34143065
2019,34167599,1,34143046
2019,34216679,1,34192044
2019,34216899,1,34192264
2019,34217003,1,34192368
2019,34217004,1,34192369
2019,34217881,1,34193230
2019,34217882,1,34193231
2019,34217884,1,34193233
2019,34217906,1,34193255
2019,34238692,1,34209052
2019,34238695,1,34209055
2019,34238705,1,34209065
2019,34238717,1,34209077
2019,34238730,1,34209090
2019,34238731,1,34209091
2019,34238732,1,34209092
2019,34238788,1,34209148
2019,34238791,1,34209151
2019,34238819,1,34209179
2019,34238815,1,34209175
2019,34239390,1,34209765
2019,34239395,1,34209770
2019,34259718,7,34230124
2019,34259720,1,34230126
2019,34259722,1,34230128
2019,34259726,1,34230132
2019,34259727,1,34230133
2019,34259733,3,34230139
2019,34259732,1,34230138
2019,34259736,1,34230142
2019,34259716,1,34230122
2019,34216769,1,34192134
2019,34217026,1,34192391
2019,37161610,1,37447027
