"DATA_YEAR","PROPERTY_ID","PROP_DESC_ID","PROPERTY_VALUE","DATE_RECOVERED","NIBRS_PROP_DESC_ID"
2019,116452830,9,0,,127343002
2019,116452830,61,1000,,127343001
2019,116452830,25,500,,127341340
2019,116452830,51,0,,127341341
2019,116452881,6,1,,127341400
2019,116461185,38,1,,127343080
2019,116457730,3,500,,127343084
2019,116461193,10,,,127347734
2019,116457751,17,150,,127347744
2019,116461202,3,1000,,127343105
2019,116452930,63,501,,127341467
2019,116461214,20,698,,127343119
2019,116457795,63,65,,127347799
2019,116461251,38,1,,127341512
2019,116452972,63,200,,127341521
2019,116457841,24,8000,,127347872
2019,116461265,24,8800,,127347875
2019,116457842,24,8000,08-JUN-19,127347874
2019,116461265,64,800,,127341536
2019,116457841,63,1,,127347873
2019,116457854,6,50,,127341544
2019,116452993,63,1,,127343182
2019,116461288,4,1400,,127343192
2019,116453003,63,15,,127343204
2019,116457924,63,600,,127347966
2019,116453034,3,1,,127347968
2019,116453039,63,41,,127347975
2019,116457974,63,31,,127341632
2019,116457994,60,1,,127341652
2019,116461365,16,1,,127341663
2019,116453100,6,285,,127341691
2019,116461394,28,20000,16-MAY-19,127341703
2019,116461392,28,20000,,127343343
2019,116458032,21,3000,,127348100
2019,116458035,39,3500,,127348103
2019,116461401,39,3500,26-MAY-19,127343351
2019,116461405,63,200,,127343355
2019,116453122,63,100,,127341721
2019,116453133,38,1445,,127341735
2019,116453158,10,,,127341766
2019,116453163,38,100,,127341771
2019,116453164,38,200,,127341774
2019,116453164,54,620,,127341773
2019,116453172,38,1100,,127341785
2019,116453185,3,988,,127341798
2019,116458101,10,,,127343466
2019,116461510,42,600,,127343484
2019,116461514,6,163,,127343487
2019,116453207,17,8000,,127341826
2019,116461531,10,,,127348252
2019,116461531,11,21,,127348253
2019,116453225,16,400,,127343519
2019,116453225,43,500,,127341838
2019,116458151,63,400,,127348272
2019,116458157,9,0,,127348282
2019,116458157,51,0,,127341844
2019,116458157,20,350,,127348281
2019,116458157,25,1,,127341843
2019,116453234,36,199,,127341856
2019,116453235,10,,,127341858
2019,116453246,30,1,,127341870
2019,116458185,63,1,,127348314
2019,116453252,38,600,,127341873
2019,116453252,3,1,,127341874
2019,116461555,28,1,,127343540
2019,116453263,11,1,,127341887
2019,116453269,63,89,,127341894
2019,116453278,63,500,,127341908
2019,116458216,6,146,,127348350
2019,116453287,6,146,31-MAR-19,127341914
2019,116453301,4,450,,127341922
2019,116453306,27,7,,127341929
2019,116458255,8,1,,127348418
2019,116458257,10,,,127348420
2019,116461608,8,1,12-JUN-19,127348421
2019,116453320,63,13,,127341951
2019,116461609,63,13,17-MAY-19,127343599
2019,116453323,38,300,,127341958
2019,116453326,9,0,,127341961
2019,116461620,4,80,,127348461
2019,116461620,63,150,,127348462
2019,116453352,21,1,,127341986
2019,116453354,10,,,127348481
2019,116458323,11,1,,127348500
2019,116458402,9,0,,127348582
2019,116458402,52,0,,127342061
2019,119507692,3,1,02-OCT-19,131840092
2019,119507693,3,1,,131840095
2019,119507693,6,135,,131840094
2019,119507693,38,500,,131840093
2019,119507712,3,1,,131840115
2019,118012810,52,0,,129276239
2019,119481905,8,173,,131806189
2019,119481907,6,25,,131806191
2019,119481911,19,675,03-OCT-19,131806195
2019,119481912,19,675,,131806196
2019,119481913,8,200,,131806197
2019,119481915,19,100,,131806199
2019,119481954,10,,,131806241
2019,119481927,2,12,,131806211
2019,119481928,50,25,,131806212
2019,119481929,63,700,,131806213
