"DATA_YEAR","VICTIM_ID","INJURY_ID"
2019,129448745,4
2019,129113064,4
2019,129113115,4
2019,129263014,5
2019,129448746,4
2019,129448805,4
2019,129448804,4
2019,129151444,5
2019,129373752,5
2019,129373803,4
2019,129403393,5
2019,129376981,4
2019,129376982,5
2019,129376985,2
2019,129376985,8
2019,129376986,5
2019,129376987,5
2019,129376988,6
2019,129377032,4
2019,129377126,5
2019,129458975,4
2019,128088051,4
2019,128088605,4
2019,129252723,4
2019,129252725,4
2019,129263872,6
2019,129263762,4
2019,129262950,5
2019,129262952,5
2019,129263557,5
2019,129263030,4
2019,129263556,5
2019,129263602,4
2019,129263761,6
2019,129263818,5
2019,129263837,4
2019,129263839,4
2019,129263897,4
2019,129263900,5
2019,129263902,3
2019,129264523,4
2019,129264639,5
2019,129273062,4
2019,129264619,4
2019,129264620,5
2019,129264621,4
2019,129277793,4
2019,129273070,4
2019,129264728,5
2019,129264832,5
2019,129277662,4
2019,129273080,4
2019,128423344,5
2019,128860375,8
2019,128860497,4
2019,128860559,5
2019,128592956,5
2019,129182534,4
2019,129182538,5
2019,129112938,5
2019,129113102,5
2019,129182545,4
2019,129182544,4
2019,129182406,5
2019,129182636,5
2019,129182323,5
2019,128423354,5
2019,128665916,4
2019,129182637,4
2019,129182607,5
2019,129097432,4
2019,129182608,1
2019,129277711,4
2019,129277497,4
2019,129277493,4
2019,129277496,4
2019,129277495,4
2019,129277494,4
2019,129264769,5
2019,129273084,4
2019,129277767,4
2019,129277768,5
2019,129277824,4
2019,128597602,5
2019,128597604,1
2019,128113186,4
2019,129097844,5
2019,129097845,5
2019,129182385,5
2019,129182386,4
2019,129264797,5
2019,129373809,4
2019,128423334,4
2019,128423333,4
2019,128454291,5
2019,128454316,4
2019,128454536,4
2019,128454537,4
2019,128454538,5
2019,128454627,5
2019,128457459,4
2019,128457661,5
2019,128457663,5
2019,128457662,5
2019,128531304,5
2019,128531415,5
2019,128872914,5
2019,128872924,4
2019,128872944,5
2019,128872947,5
2019,128872955,5
2019,128872956,5
2019,128872957,5
2019,128872967,4
2019,128872981,5
2019,128873001,5
2019,128873000,6
2019,128873013,6
2019,128873030,5
2019,128873270,4
2019,131487971,5
2019,131488020,5
2019,128339474,5
2019,129451822,5
2019,129451823,5
